package,owner
DEWSeq,embl-hentze-group
DExMA,bioc
DEXSeq,bioc
dexter,dexter-psychometrics
dextergui,jessekps
dexterMST,timobechger
df2yaml,showteeth
DFA,victormesquita40
DFA.CANCOR,bpoconnor
dfadjust,kolesarm
dfcomb,jhjourdan
dfCompare,swaldroff
dfcrm,jkd2108
dfdr,konrad1991
dfidx,ycroissant
DFIT,herulor
dfmeta,artemis-toumazi
dfms,sebkrantz
dfmta,jhjourdan
dfoliatR,chguiterman
dfoptim,rvaradhan
Dforest,lhnctr
dformula,dataallaround
DFP,bioc
dfped,artemis-toumazi
dfphase1,cran
dfpk,artemis-toumazi
dfrr,asgari-fatemeh
dfsaneacc,johngardenghi
dfvad,shipei-zeng
dga,olivierbinette
dGAselID,cran
DGCA,andymckenzie
DGEobj,cb4ds
DGEobj.utils,cb4ds
dggridR,r-barnes
dglars,luigiaugugliaro
dglm,gksmyth
DGLMExtPois,franciscomartinezdelrio
DGM,schw4b
dgof,cran
dgpsi,mingdeyu
dgumbel,blunde1
DHARMa,florianhartig
DHBins,tslumley
dhga,samarendra88
dhglm,msnoh1
dhh,cran
dhis2r,amanyiraho
dhlabR,cran
DHS.rates,cran
dHSIC,cran
di,cran
diagis,helske
diagmeta,guido-s
diagonals,bquast
diagram,karlines
DiagrammeR,rich-iannone
DiagrammeRsvg,rich-iannone
DIAlignR,shubham1637
DiallelAnalysisR,myaseen208
dialr,socialresearchcentre
dialrjars,socialresearchcentre
dials,tidymodels
diaplt,osubera
diathor,limnolab
dibble,uchidamizuki
dice,cran
DiceDesign,chelbert
DiceEval,chelbert
DiceKriging,roustant
DiceOptim,cran
diceR,alinetalhouk
DiceView,irsn
dichromat,cran
DICOMread,cran
DIconvex,cran
Dict,five-dots
dictionar6,xoopr
dictionaRy,stevecondylios
did,bcallaway11
did2s,kylebutts
DidacticBoost,dashaub
Diderot,cran
DiDforBigData,setzler
didimputation,cran
didrooRFM,didroo55
dief,maribelacosta
diemr,nmartinkova
dietr,sborstein
diezeit,chgrl
DIFboost,schaubert
difconet,vtrevino
DiffBind,bioc
diffcoexp,hidelab
diffcor,cran
DiffCorr,afukushima
diffcyt,lmweber
diffdf,gowerc
diffdfs,riazarbi
diffee,blw921
diffEnrich,sabalab
diffeqr,sciml
diffeR,amsantac
diffeRenTES,cran
DifferentialRegulation,simonetiberi
diffGeneAnalysis,bioc
diffHic,bioc
diffIRT,cran
DiffLogo,mgledi
diffmatchpatch,rundel
diffMeshGP,cran
diffobj,brodieg
diffpriv,brubinstein
diffr,muschellij2
diffudist,gbertagnolli
diffusion,mamut86
diffusionMap,rcannood
diffusr,dirmeier
diffuStats,bioc
diffUTR,ethz-ins
diffval,cran
diffviewer,r-lib
DiffXTables,joemsong
DIFlasso,schaubert
difNLR,adelahladka
DIFplus,daiscode
difR,cran
DIFshiny,huseyinyildiz35
DIFtree,jmober
digest,eddelbuettel
diggit,bioc
digiRhythm,nasserdr
digitalDLSorteR,diegommcc
digitalPCR,xutaodeng
digitize,tpoisot
digitTests,koenderks
DIGSS,markhubbe
DIME,olechnwin
dimensio,tesselle
dimensionalAnalysis,vinothkumar194
dimensionsR,massimoaria
DImodels,cran
DIMORA,avios97
dimRed,gdkrmr
dina,tmsalab
dinamic,cran
DiNAMIC.Duo,vonnwalter23
dineq,reneschulenberg
dineR,ricsalgado
Dino,jbrownbiostat
dint,s-fleck
DiPALM,humanoidtyphoon
DiPhiSeq,cran
dipm,cli9
diproperm,allmondrew
DiPs,ruoqiyu
dipsaus,dipterix
diptest,mmaechler
dipw,yuhaow
dir.expiry,bioc
Dire,american-institutes-for-research
DIRECT,audreyqyfu
DirectedClustering,gianpaoloclemente
DirectEffects,mattblackwell
Directional,cran
directlabels,tdhock
Director,kzouchka
directotree,louissirugue
directPA,pyanglab
DirectStandardisation,christianak
DirichletMultinomial,bioc
dirichletprocess,dm13450
DirichletReg,maiermarco
dirmcmc,abhirupkgp
dirmult,tvedebrink
DirStats,egarpor
dirttee,cran
disaggR,inseefr
DisaggregateTS,mosleyl
disaggregation,timcdlucas
disbayes,chjackson
discAUC,ba-code-review
DIscBIO,ocbe-uio
discfrail,fgaspe04
discharge,sbshah10
disclap,mikldk
disclapmix,mikldk
disclapmix2,mkruijver
disclosuR,jonasroettger
discnorm,cran
discord,r-computing-lab
discordant,siskac
DiscoRhythm,matthewcarlucci
discourseGT,smlo
discoveR,cran
discoverableresearch,cran
discretecdAlgorithm,gujyjean
DiscreteFDR,disohda
discretefit,josh-mc
DiscreteInverseWeibull,cran
DiscreteLaplace,cran
DiscreteQvalue,cran
discreteRV,erichare
DiscreteWeibull,cran
discretization,cran
discrim,tidymodels
discrtr,paezha
discSurv,cran
discursive,pwkraft
disdat,rvalavi
Disequilibrium,natelatshaw
DisHet,wtwt5237
DisimForMixed,cran
DisImpact,vinhdizzo
disk.frame,diskframe
diskImageR,cran
dismo,rspatial
disordR,robinhankin
disparityfilter,alessandrobessi
dispeRse,jgregoriods
dispmod,luca-scr
disposables,gaborcsardi
dispositionEffect,marcozanotti
dispRity,tguillerme
disprofas,piusdahinden
disprose,cran
dissCqN,murphymv
dissever,pierreroudier
DiSSMod,sangkyustat
Distance,distancedevelopment
distance.sample.size,cran
distances,fsavje
distanceto,robitalec
distantia,blasbenito
DistatisR,herveabdi
distcomp,bnaras
distcrete,reconhub
distdichoR,cran
distfree.cr,zhiqiuhu
distill,rstudio
distillery,ericgilleland
distillML,forestry-labs
distinct,simonetiberi
disto,talegari
distory,emmanuelparadis
DistPlotter,ccasement
distr,r-forge
distrDoc,r-forge
distreg.vis,stan125
distrEllipse,r-forge
distrEx,r-forge
DISTRIB,cran
distributional,mitchelloharawild
DistributionOptimization,cran
distributions3,alexpghayes
distributionsrd,ruben0dewitte
DistributionTest,cuining1
DistributionUtils,dsco036
distrMod,r-forge
distro,nealrichardson
distrom,taddylab
distrr,gibonet
distrRmetrics,r-forge
distrSim,r-forge
distrTeach,r-forge
distrTEst,r-forge
distTails,sergivilardell
disttools,mamc-dci
dittodb,ropensci
dittoSeq,dtm2451
div,drphilippedb
divDyn,divdyn
DivE,dlaydon
diveMove,spluque
diveR,great-northern-diver
diverge,cran
divergence,bioc
diverse,mguevara
DiversificationR,jbhasse
diversitree,richfitz
diversityForest,romanhornung
DiversityOccupancy,derek-corcoran-barrios
divest,jonclayden
divo,mpiet11
divraster,flaviomoc
divseg,christopherkenny
dixon,cran
dixonTest,cran
diyar,olisansonwu
DIZtools,miracum
DIZutils,miracum
DJL,tgno3
dkanr,cran
dkDNA,morota
dks,bioc
dLagM,haydarde
DLASSO,hamedhm
dlbayes,scarlettshijiazhang
dlib,jwijffels
DLL,zijguo
dlm,gpetris
DLMtool,cran
dlnm,gasparrini
dlookr,choonghyunryu
DLPCA,cran
dlr,macmillancontentscience
dlsem,alessandromagrini
DLSSM,jiakunj
dlstats,guangchuangyu
dm,cynkra
dma,hanase
dmai,myaseen208
dmbc,sergioventurini
DMCFB,shokoohi
DMCfun,igmmgi
DMCHMM,shokoohi
dmetatools,nomahi
dml,terrytangyuan
dmlalg,corinne-rahel
DMLLZU,cran
dmm,nevillejackson
DMMF,kwanghun
dMod,dkaschek
DMRcaller,bioc
DMRcate,bioc
DMRforPairs,bioc
dmri.tracking,vic-dragon
DMRMark,cran
DMRnet,szymonnowakowski
DMRScan,christpa
dmrseq,bioc
DMtest,cran
DMTL,dhruba018
dmtools,konstantinryabov
dmutate,kylebaron
DMwR2,ltorgo
DNABarcodeCompatibility,comoto-pasteur-fr
DNABarcodes,bioc
DNAcopy,veseshan
DNAfusion,ctriermaansson
DNAmixturesLite,tgraversen
dnapath,tgrimes
DNAseqtest,hasinurkhan
DNAshapeR,bioc
DNAtools,mikldk
dndR,njlyon0
dnet,hfang-bristol
DNetFinder,cran
dng,feng-li
DNH4,forkonlp
DNLC,yushengding
DNMF,zhilongjia
dnr,abhirupkgp
do,yikeshu0611
DOBAD,cran
dobin,sevvandi
dobson,agbarnett
doBy,hojsgaard
doc2concrete,myeomans
doc2vec,bnosac
dockerfiler,thinkr-open
DockerParallel,jiefei-wang
docknitr,innermatrix
doconv,ardata-fr
docopt,docopt
docopulae,arappold
docore,obreschkow
docreview,thisisnic
docstring,dasonk
doctest,hughjonesd
document,fvafrcu
documenter,mamc-dci
docuSignr,carlganz
docxtools,graphdr
docxtractr,hrbrmstr
Dodge,ajrgodfrey
dodgr,urbananalyst
DoE.base,cran
DoE.MIParray,cran
DoE.wrapper,ugroempi
doebioresearch,popatraj
DOEM,cran
DoEstRare,cran
doex,mcavs
doFuture,henrikbengtsson
dogesr,jj
doMC,beccadaniel
domino,nelprin
DominoEffect,bioc
domir,jluchman
doMPI,steveweston
donut,paulnorthrop
doolkit,nialsig
DoOR.data,ropensci
DoOR.functions,ropensci
doParallel,revolutionanalytics
DOPE,ctn-0094
doppelgangR,waldronlab
doRedis,bwlewis
doremi,dcourvoisier
doRNG,renozao
DOS,cran
DOS2,cran
Doscheda,bioc
DOSE,yulab-smu
dosearch,santikka
dosedesignR,t-schm
DoseFinding,bbnkmp
doseminer,selbosh
doseR,bioc
doSNOW,beccadaniel
DOSPortfolio,statistics-in-portfolio-theory
dosresmeta,alecri
dostats,halpo
DOT,haghish
DoTC,holgersr
dotCall64,reinhardfurrer
dotenv,gaborcsardi
dotgen,xiaoran831213
dotprofile,jeanmathieupotvin
dots,christopherkenny
dotwhisker,fsolt
doubcens,jamesm1524
double.truncation,cran
DoubleCone,cran
DoubleExpSeq,sruddy17
DoubleML,doubleml
doubletrouble,almeidasilvaf
doubt,moodymudskipper
doudpackage,cran
DOvalidation,cran
DOVE,sth1402
Dowd,d-acharya
downlit,r-lib
downloader,wch
downloadthis,fmmattioni
downscale,charliem2003
downscaledl,lspatial
downsize,wlandau
dowser,kbhoehn
dparser,nlmixr2
DPBBM,laurenie
dpcc,bingyuan-zhang
dPCP,alfodefalco
dpeak,dongjunchung
Dpit,cran
dplbnDE,alexplatasl
dplR,andybunn
dplyr,tidyverse
dplyrAssist,cardiomoon
dpmr,christophergandrud
DPP,lmavila
DPpack,sgiddens
dppmix,djhshih
DPQ,r-forge
DPQmpfr,mmaechler
dprint,cran
dprop,imranshakoor
dpseg,raim
DPtree,cran
DQAgui,miracum
DQAstats,miracum
dqrng,daqana
dQTG.seq,yuanmingzhang
dr,sanfordweisberg
DR.SC,feiyoung
dr4pl,jtlandis
dracor,natverse
dragon,sjspielman
dragonking,rrrlw
dragracer,svmiller
dragulaR,zzawadz
drake,ropensci
DramaAnalysis,quadrama
drat,eddelbuettel
draw,rrwen
drawer,lz100
drawProteins,brennanpincardiff
DRaWR,cblatti3
drawsample,atalay-k
DRAYL,cran
DrBats,bfontez
drc,cran
drcarlate,cran
drcSeedGerm,onofriandreapg
drcte,onofriandreapg
drda,albertopessia
DRDID,pedrohcgs
DrDimont,kathbaum
DRDRtest,weng-gw
dreamer,rich-payne
dreamerr,lrberge
DREGAR,hamedhm
drf,lorismichel
drfit,jranke
drgee,drjoze
DRHotNet,albrizre
drhur,sammo3182
DriftBurstHypothesis,emilsjoerup
drifter,modeloriented
DrillR,dragonitemew
drimmR,cran
DrImpute,ikwak2
DRIMSeq,bioc
DRIP,cran
driveR,egeulgen
DriverNet,bioc
droll,cran
DRomics,aursiber
DropletUtils,bioc
droptest,chadr
drord,benkeser
drought,drought
drpop,mqnjqrid
DRR,gdkrmr
drtmle,benkeser
DrugClust,cran
DrugExposureDiagnostics,cran
drugprepr,belayb
DrugSim2DR,hanjunwei-lab
drugTargetInteractions,girke-lab
DrugUtilisation,cran
DrugVsDisease,bioc
drumr,jamesmartherus
DRviaSPCN,hanjunwei-lab
ds,cran
ds4psy,hneth
dsa,danielollech
DSAIDE,ahgroup
DSAIRM,ahgroup
dsample,cran
dsb,niaid
dscore,d-score
dsdp,tsuchiya-lab
dse,r-forge
dsfa,cran
DSI,datashield
DSjobtracker,thiyangtdata
DSL,theussl
dslabs,cran
dslice,yechao1009
DSLite,datashield
dsm,distancedevelopment
dsmisc,petermeissner
dsmmR,mavrogiannis-ioannis
DSMolgenisArmadillo,molgenis
DSOpal,datashield
dsos,vathymut
DSpoty,albertoalmuinha
dsrTest,mnelsonr
DSS,bioc
DSSAT,palderman
DSSP,gentrywhite
dst,rapler
dstabledist,cran
DstarM,vandenman
dstat,cran
dstat2x2xk,cran
dSTEM,cran
dStruct,datamaster-kris
dSVA,leeshawn
DSWE,tamu-aml
DT,rstudio
DTA,bioc
dtangle,gjhunt
DTAplots,ianschiller
DTAT,dcnorris
DTAXG,marsdu1989
dTBM,jhu267
DTComPair,chstock
DtD,boennecd
DTDA,carlammoreira
DTDA.cif,sidoruvigo
DTDA.ni,sidoruvigo
dtgiw,atchanut
dti,ktabelow
DTMCPack,wbnicholson
dtp,zedtaha
dtpcrm,christinayap
dtplyr,tidyverse
DTR,cran
dtrackr,terminological
DTRKernSmooth,yunanwu123
DTRlearn2,ychen178
DTRreg,cran
dtrSurv,sth1402
DTSEA,hanjunwei-lab
DTSg,gisler
dtt,luqqe
dttr2,poissonconsulting
dtts,eddelbuettel
dtw,tonigi
DTWBI,cran
dtwclust,asardaes
DTwrappers,mb4511
dtwSat,vwmaus
DTWUMI,cran
dual,drwolf85
dual.spls,alsoukil
dualtrees,s6sebusc
duawranglr,btskinner
dub,egnha
DUBStepR,cran
duckdb,duckdb
duckduckr,dirkschumacher
duckplyr,krlmlr
duke,aidangildea
dumbbell,foocheung
dummy,ballings
dundermifflin,cran
Dune,hectorrdb
dunn.test,alexisdinno
dupRadar,ssayols
dupree,russhyde
Durga,khankawsar
DVHmetrics,dwoll
dvir,thoree
dvmisc,vandomed
dvqcc,cran
DWBmodelUN,dazamora
dwctaxon,ropensci
DWDLargeR,kim-chuantoh
dwdradar,brry
DWLasso,cran
dwlm,cran
DWLS,sistia01
dwp,ddalthorp
DWreg,cran
dyads,cran
dycdtools,songyanyu
dydea,cran
dyebias,bioc
dygraphs,rstudio
Dykstra,cran
DYM,kos59125
dymo,cran
dyn,markleeds2
dyn.log,bmoretz
dynamac,andyphilips
dynamAedes,mattmar
dynamic,melissagwolf
DynamicGP,heavenmarshal
dynamichazard,boennecd
dynamicSDM,r-a-dobson
dynamicTreeCut,plangfelder
dynamite,ropensci
DynaRankR,straussed
DynareR,sagirumati
dynaSpec,marce10
DYNATE,xuechan
dynatop,waternumbers
dynatopGIS,waternumbers
dynaTree,rbgramacy
dynBiplotGUI,jegido
DynClust,yrozen-biostm
dyncomp,cran
dynConfiR,sehellmann
dynCorr,joeldubin
dyndimred,dynverse
DynDoc,bioc
dynetNLAResistance,s1107967177
dynfeature,dynverse
DynForest,anthonydevaux
dyngen,dynverse
dynlm,zeileis
dynmix,kdrachal
DynNom,cran
dynpanel,zedtaha
dynparam,dynverse
dynplot,dynverse
dynpred,hputter
dynprog,mailund
dynr,mhunter1
dynRB,cran
dynsbm,vmielecnrs
dynsim,christophergandrud
dynsurv,wenjie2wang
dyntaper,ogarciav
DynTxRegime,sth1402
dynutils,dynverse
dynwrap,dynverse
DysPIA,lemonwang2020
DysPIAData,lemonwang2020
DySS,luyouepiusf
e1071,cran
E4tools,ekleiman1
eadrm,cran
eaf,mlopez-ibanez
Eagle,r-forge
EAinference,seunghyunmin
eAnalytics,paulgovan
earlygating,el-meyer
earlyR,reconhub
earlywarnings,vdakos
earth,stephenmilborrow
earthtide,jkennel
earthtones,wcornwell
Ease,cran
easier,bioc
EasyABC,r-forge
easyAHP,marsdu1989
easyalluvial,erblast
easyanova,cran
EasyCellType,bioc
easycensus,corymccartan
easyclimate,verughub
easyCODA,michaelgreenacre
easycsv,bogind
easydb,selkamand
easyDes,marsdu1989
EasyDescribe,nie-xiuquan
easyDifferentialGeneCoexpression,cran
easylabel,myles-lewis
EasyMx,mhunter1
easyNCDF,anchiho
easynls,cran
easypackages,jakesherman
easypower,cran
easyPSID,brianaronson
easyPubMed,dami82
easyr,oliver-wyman-actuarial
easyreg,cran
easyreporting,drighelli
easyRNASeq,bioc
easySdcTable,statisticsnorway
easystats,easystats
easySVG,ytdai
easyVerification,cran
eat,miriamesteve
eatATA,beckerbenj
eatDB,cran
eatGADS,beckerbenj
EATME,kuan-cheng-da
eatRep,weirichs
eatTools,weirichs
eba,cran
ebal,jankee2022
EBarrays,bioc
EbayesThresh,stephenslab
EBCHS,dulilun
ebci,kolesarm
EBcoexpress,bioc
ebdbNet,andreamrau
EBEN,cran
ebGenotyping,hmaoxian
EBglmnet,cran
EBImage,aoles
ebirdst,ebird
EBMAforecast,fhollenbach
ebmc,cran
ebnm,stephenslab
EBPRS,shuangsong0110
EBrank,johnfergusonnuig
ebreg,cran
eBsc,lfrm
EBSEA,bioc
EBSeq,bioc
EBSeqHMM,bioc
ebTobit,barbehenna
ebvcube,luisequoss
ec50estimator,alvesks
ecan,matutosi
eCAR,gpage2990
ecb,expersso
ECctmc,fintzij
ecd,slihn
Ecdat,sbgraves237
ecdfHT,jpnolan
ecespa,cran
Ecfun,sbgraves237
ECGofTestDx,lafaye
ech,calcita
ECharts2Shiny,xd-deng
echarts4r,johncoene
echarty,helgasoft
echelon,cran
eChem,dtharvey
echo,jmbarbone
echo.find,hurlej2
echogram,hvillalo
echoice2,ninohardt
echor,mps9506
ecic,frederickluser
ecipex,cran
ECLRMC,cran
eclust,sahirbhatnagar
ecm,gaurbans
ecmwfr,bluegreen-labs
ecochange,wilarhen
ecocomDP,ediorg
ecoCopula,cran
EcoDiet,pyhernvann
ecodist,phiala
EcoEnsemble,cran
Ecohydmod,rodolfomssouza
EcoIndR,cran
ECoL,lpfgarcia
ecolitk,bioc
ecolMod,karlines
ecolottery,frmunoz
ecolRxC,cran
ecolTest,hugosal
EconDemand,terrytwu
econet,cran
EcoNetGen,cboettig
econetwork,vmielecnrs
EconGeo,paballand
economiccomplexity,pachadotdev
econullnetr,ivaughan
ecopower,cran
ecoreg,chjackson
ecorest,skmckay
ecosim,peterreichert
ECOSolveR,bnaras
ecospace,pnovack-gottshall
ecospat,ecospat
ecostats,dwarton
ecostatscale,adamtclark
EcotoneFinder,cran
ecotox,benjaminhlina
ecotoxicology,cran
ECOTOXr,pepijn-devries
ecotraj,emf-creaf
EcoTroph,polehalieutique
ecoval,nschuwirth
EcoVirtual,cran
ecp,zwenyu
ecpc,mirrelijn
ecr,jakobbossek
ectotemp,wouterbeukema
ECTTDNN,cran
Ecume,hectorrdb
ed50,mousieur-g
ed50simulation,cran
EDA,cran
eda4treeR,myaseen208
EDASeq,drisso
edbuildmapr,edbuild
EDCimport,danchaltiel
edcpR,cran
eddington,pegeler
edeaR,bupaverse
edecob,manzhch
edf,bwrc
edfReader,cran
EDFtest,liyao-sfu
edfun,talgalili
edgar,gunratan
edgarWebR,mwaldstein
edge,storeylab
edgebundle,schochastics
edgebundleR,garthtarr
edgeCorr,marmalade-icecream
edgedata,eeethb
edgeR,bioc
edibble,emitanaka
ediblecity,icra
edina,tmsalab
EDIRquery,bioc
EDISON,cran
editData,cardiomoon
editrules,data-cleaning
EDIutils,ropensci
edl,jacolien
edlibR,evanbiederstedt
eDMA,cran
edmcr,great-northern-diver
edmdata,tmsalab
EDMeasure,zejin
EDNE.EQ,cran
EDOIF,darkeyes
EDOtrans,cran
eds,k3yavi
edstan,danielcfurr
EdSurvey,american-institutes-for-research
educationdata,urbaninstitute
educineq,jordavuc
edwards97,paleolimbot
EEAaq,agostinotassanmazzocco
eechidna,jforbes14
eefAnalytics,germaine86
eegc,bioc
eegkit,cran
eegkitdata,cran
eel,cran
EEM,chengvt
eemdARIMA,rrk4910
EEMDelm,cran
EEMDlstm,kapiliasri
EEMDSVR,cran
eemdTDNN,cran
eemR,pmassicotte
eeptools,jknowles
eesim,sakoehler7
EESPCA,cran
ef,colinpmillar
EFA.dimensions,bpoconnor
EFA.MRFA,cran
EFAtools,mdsteiner
EFAutilities,guangjianzhang
efdm,mikkoku
EFDR,andrewzm
eff2,richardkwo
EffectLiteR,amayer2010
effectR,tabima
effects,john-d-fox
effectsize,easystats
effectsizescr,unipateambehave
EffectStars,schaubert
EffectStars2,schaubert
EffectTreat,wimvde001
EfficientMaxEigenpair,mxjki
efflog,gloriagheno
effsize,mtorchiano
efreadr,cran
eFRED,cmann3
EFS,cran
ega,cran
EGAD,bioc
EGAnet,cran
egcm,matthewclegg
egg,baptiste
eggCounts,cran
EgoCor,julia-dyck
egor,tilltnet
EGRET,doi-usgs
EGRETci,doi-usgs
EGRNi,chiranjibsbioinfo
EGSEA,bioc
eGST,arunabhacodes
eha,goranbrostrom
ehaGoF,agulb
eHDPrep,overton-group
ehelp,mponce0
eHOF,florianjansen
EHR,cran
EHRtemporalVariability,hms-dbmi
ei,cran
ei.Datasets,cran
eia,ropensci
EIAapi,ramikrispin
eicm,miguel-porto
eiCompare,rpvote
eiExpand,rachel-carroll
eigenmodel,pdhoff
EigenR,stla
eikosograms,rwoldford
eimpute,cran
einet,travisbyrum
einsum,const-ae
eiopaR,mehdichelh
eiPack,mrkellermann
eiR,girke-lab
eirm,okanbulut
eisaR,fmicompbio
eive,cran
eivtools,jrlockwood
EIX,modeloriented
eixport,atmoschem
EKMCMC,hyukpyohong
eks,tarnduong
EL,cran
EL2Surv,j6020770416j
elaborator,stjeske
elasdics,steyerli
elasso,piguo
elastes,mpff
elastic,ropensci
elasticnet,cran
ELCIC,chencxxy28
elec,lmiratrix
EleChemr,federicoviv
elect,ardoucl
elections,cran
elections.dtree,fleverest
electionsBR,silvadenisson
electivity,desiquintans
electoral,albuja
elementR,charlottesirot
elevatr,jhollist
elexr,ghing
elfDistr,matheushjs
elfgen,harpgroup
elhmc,nus-sanjayc
ELISAtools,cran
elisr,sbissantz
eList,cmann3
elitism,cran
Elja,ehmarwan
elliplot,osubera
ellipse,dmurdoch
ellipsis,r-lib
ElliptCopulas,alexisderumigny
elliptic,robinhankin
ellipticalsymmetry,cran
ELMER,bioc
elmNNRcpp,mlampros
ELMR,sojers92
ELMSO,cpaulson-suu
elo,eheinzen
EloChoice,gobbios
EloOptimized,jtfeld
EloRating,gobbios
EloSteepness,gobbios
elrm,cran
elsa,babaknaimi
ELT,etendard7
eltr,randhirbilkhu
ELYP,cran
em,wudongjie
EM.Fuzzy,cran
emailjsr,changwoolim
emailvalidation,cran
EMAS,nie-xiuquan
EMAtools,ekleiman1
emayili,datawookie
emBayes,cran
EMbC,jgarriga65
embed,tidymodels
EmbedSOM,exaexa
embryogrowth,marc-girondot
EMCluster,snoweye
EMD,dkimstatlab
EMDANNhybrid,cran
emdbook,bbolker
emdi,soerenpannier
emdist,s-u
EMDomics,bioc
EMDSVRhybrid,cran
emg,spgarbet
emhawkes,ksublee
EmiR,lorenzo125
emIRT,jameslo989
EmissV,atmoschem
EmiStatR,arturotorres
EML,ropensci
emld,ropensci
eMLEloglin,cran
EMLI,vy-du
EMMAgeo,coffeemuggler
emmeans,rvlenth
EMMIXgene,andrewthomasjones
EMMIXmfa,suren-rathnayake
EMMIXSSL,lyu9118
EMMLi,timcdlucas
EMMREML,denizakdemir
emoa,cran
emoji,emilhvitfeldt
emojifont,guangchuangyu
emon,jonbarry145
emov,schw4b
EMP,banking-analytics-lab
EMpeaksR,matsumuratarojiro
empichar,gbasulto
EmpiricalBrownsMethod,bioc
EmpiricalCalibration,ohdsi
emplik,maizhou
emplik2,maizhou
emplikAUC,maizhou
ems,epimedplotly
EMSaov,ek-lee
EMSC,khliland
EMSNM,denglinsui
EMSS,sangkyustat
emstreeR,allanvc
EMT,uwemenzel
emulator,robinhankin
emuR,ips-lmu
enc,krlmlr
EncDNA,prabinameher
eNchange,kakoko1984
encode,bergsmat
encryptedRmd,dirkschumacher
encryptr,surgicalinformatics
endogeneity,cran
endogenous,cran
EndoMineR,ropensci
endorse,sensitivequestions
endoSwitch,cbw1243
endtoend,chedgala
energy,mariarizzo
EnergyOnlineCPM,xuyafei2019
energyr,paulgovan
enerscape,emilio-berti
enetLTS,fatmasevinck
english,billvenables
engression,cran
EngrExpt,cran
engsoccerdata,cran
EnhancedVolcano,kevinblighe
enhancerHomologSearch,jianhong
EnMCB,whirlsyu
ENMeval,jamiemkass
ENmix,bioc
enmSdmX,adamlilith
ENMTools,danlwarren
enpls,nanxstats
EnrichedHeatmap,jokergoo
EnrichIntersect,ocbe-uio
EnrichmentBrowser,lgeistlinger
enrichplot,guangchuangyu
enrichR,cran
enrichTF,wzthu
enrichwith,ikosmidis
EnsCat,jlp2duke
ensembldb,jorainer
EnsembleBase,asmahani
ensembleBMA,cran
EnsembleCV,asmahani
ensembleMOS,sbaran0225
EnsemblePCReg,asmahani
EnsemblePenReg,asmahani
ensemblepp,jakmes
ensembleR,sauravkaushik8
ensembleTax,cran
ensemblQueryR,ainefairbrother
ensemblVEP,bioc
ensr,dewittpe
ensurer,smbache
entropart,ericmarcon
EntropicStatistics,cran
entropy,cran
EntropyEstimation,michaelg-1
EntropyMCMC,cran
entrymodels,gnjardim
envalysis,zsteinmetz
EnvCpt,rkillick
envDocument,dgjacks0n
enveomics.R,lmrodriguezr
EnvExpInd,spatial-r
envi,lance-waller-lab
enviGCMS,yufree
enviPat,blosloos
envir,t-kalinowski
envirem,ptitle
EnviroPRA,cran
envnames,mastropi
EnvNicheR,cran
EnvNJ,jcaledo
envoutliers,cran
envstat,sellorm
EnvStats,alexkowa
eoa3,ddalthorp
eoffice,guokai8
eoR,rwalke
epade,cran
epair,ropensci
epandist,cran
epanet2toolkit,bradleyjeck
epanetReader,bradleyjeck
epca,fchen365
epcc,victor-saldana
ePCR,syksy
epe4md,epe-gov-br
EPGMr,swampthingpaul
eph,holatam
Epi,bxc147
epialleleR,bbcg
epibasix,cran
epicasting,cran
EpiCompare,neurogenomics
epicontacts,reconhub
EpiContactTrace,stewid
EpiCurve,iamkdo
epidata,hrbrmstr
epidecodeR,kandarprj
EpiDISH,sjczheng
epiDisplay,cran
epidm,alexbhatt
EpiDynamics,oswaldosantos
EpiEstim,mrc-ide
epifitter,alvesks
epiflows,reconhub
EpiForsk,laksafoss
epigenomix,bioc
epigraHMM,bioc
epigraphdb,mrcieu
EpiILM,waleedalmutiry
EpiILMCT,waleedalmutiry
EpiInvert,lalvarezmat
epikit,r4epi
EpiLPS,oswaldogressani
epimdr,objornstad
epimdr2,objornstad
EpiMix,gevaertlab
EpiModel,epimodel
epimutacions,isglobal-brge
epiNEM,cbg-ethz
epinet,cgroendyke
epinetr,diondetterer
EpiNow2,epiforecasts
epiomics,goodrich-lab
epiR,cran
EpiReport,loremerdrignac
episcan,cran
EpiSemble,diprosinha
episensr,dhaine
EpiSignalDetection,eu-ecdc
epistack,genepi-genphyse
epistasis,pariya
epistasisGA,mnodzenski
EpistemicGameTheory,bilgeob
epitab,stulacy
EpiTest,simonrio
epitools,cran
epitopeR,xzhan50
epitrix,reconhub
epitweetr,eu-ecdc
EpiTxDb,felixernst
epivizr,hcorrada
epivizrChart,hcorrada
epivizrData,epiviz
epivizrServer,epiviz
epivizrStandalone,hcorrada
epiworldR,uofuepibio
EPLSIM,yuyanwangsixtwo
eplusr,hongyuanjia
eply,wlandau
epm,ptitle
epmrob,cran
epoc,tabenius
epocakir,alwinw
eponge,krzjoa
epos,bernd-mueller
epoxy,gadenbuie
epr,cran
epsiwal,shabbychef
EPT,dkimstatlab
epubr,ropensci
epwshiftr,ideas-lab-nus
EPX,jhtomal
epxToR,cran
eq5d,fragla
EQL,cran
equalCovs,cran
Equalden.HD,cran
equaltestMI,gabriellajg
equatags,ardata-fr
equate,talbano
equateIRT,micbtz
equateMultiple,micbtz
equil2,billdenney
EquiSurv,kathrinmoellenhoff
equivalence,cran
equivalenceTest,wan9c9
EQUIVNONINF,cran
equivUMP,thmild
ER,khliland
