package,registry,owner
embryogrowth,cran,marc-girondot
EMD,cran,dkimstatlab
EMDANNhybrid,cran,
emdbook,cran,bbolker
emdist,cran,s-u
EMDomics,bioc,
EMDSVRhybrid,cran,
EmiR,cran,lorenzo125
emIRT,cran,jameslo989
EmiStatR,cran,arturotorres
eMLEloglin,cran,
EMLI,cran,vy-du
EMMIXgene,cran,andrewthomasjones
EMMIXSSL,cran,lyu9118
EMMREML,cran,denizakdemir
emoa,cran,
emon,cran,jonbarry145
EMpeaksR,cran,matsumuratarojiro
EmpiricalBrownsMethod,bioc,
emplik,cran,maizhou
emplik2,cran,maizhou
emplikAUC,cran,maizhou
ems,cran,epimedplotly
EMSaov,cran,ek-lee
EMSNM,cran,denglinsui
EMT,cran,uwemenzel
EncDNA,cran,prabinameher
eNchange,cran,kakoko1984
endogeneity,cran,
endogenous,cran,
endtoend,cran,chedgala
EnergyOnlineCPM,cran,xuyafei2019
english,cran,billvenables
EngrExpt,cran,
engsoccerdata,cran,
ENmix,bioc,
enrichR,cran,
EnsembleBase,cran,asmahani
ensembleBMA,cran,
EnsembleCV,cran,asmahani
ensembleMOS,cran,sbaran0225
EnsemblePCReg,cran,asmahani
EnsemblePenReg,cran,asmahani
ensemblepp,cran,jakmes
ensembleTax,cran,
ensemblVEP,bioc,
EntropicStatistics,cran,
entropy,cran,
EntropyEstimation,cran,michaelg-1
EntropyMCMC,cran,
enveomics.R,cran,lmrodriguezr
EnviroPRA,cran,
EnvNicheR,cran,
EnvNJ,cran,jcaledo
envoutliers,cran,
eoffice,cran,guokai8
eoR,cran,rwalke
epade,cran,
epandist,cran,
Epi,cran,bxc147
epibasix,cran,
epicasting,cran,
epiDisplay,cran,
epigenomix,bioc,
epigraHMM,bioc,
epimdr,cran,objornstad
epinet,cran,cgroendyke
epiR,cran,
EpiReport,cran,loremerdrignac
episcan,cran,
EpiSemble,cran,diprosinha
epistasis,cran,pariya
EpistemicGameTheory,cran,bilgeob
EpiTest,cran,simonrio
epitools,cran,
epitopeR,cran,xzhan50
epivizr,bioc,hcorrada
epivizrChart,bioc,hcorrada
epivizrStandalone,bioc,hcorrada
epmrob,cran,
epoc,cran,tabenius
epr,cran,
EPT,cran,dkimstatlab
EPX,cran,jhtomal
epxToR,cran,
EQL,cran,
equalCovs,cran,
Equalden.HD,cran,
equateIRT,cran,micbtz
equateMultiple,cran,micbtz
EquiSurv,cran,kathrinmoellenhoff
equivalence,cran,
equivalenceTest,cran,wan9c9
EQUIVNONINF,cran,
ercv,cran,iserram
erer,cran,
ergMargins,cran,
ergmharris,cran,jenineharris
eRm,cran,pmair78
erma,bioc,vjcitn
ERP,cran,dcauseur
ERPeq,cran,emrahaltun
errint,cran,jesuspradaalonso
ERSA,cran,cbhurley
es.dif,cran,
esaBcv,cran,jingshuw
escape,bioc,
esDesign,cran,yangzhao98
eselect,cran,martabofillroig
esemifar,cran,
esetVis,bioc,lcougnaud
ESG,cran,etendard7
eSIR,cran,
espadon,cran,
essentials,cran,
essHist,cran,
estadistica,cran,
EstCRM,cran,czopluoglu
EstHer,cran,
EstimateGroupNetwork,cran,
estimraw,cran,
EstMix,cran,
estprod,cran,rrremedio
etable,cran,
ETASbootstrap,cran,rjpeng98
etasFLP,cran,marcellochiodi
ETC,cran,
ether,cran,
etma,cran,xup6fup
EuclideanSD,cran,
eudract,cran,
eudysbiome,bioc,
EUfootball,cran,
eulerian,cran,alorchhota
EurosarcBayes,cran,finite2
Evacluster,cran,fahimehnm
evalR,cran,
EvaluationMeasures,cran,babak-khorsand
EValue,cran,mayamathur
Evapotranspiration,cran,
evclass,cran,
evclust,cran,
EvCombR,cran,
evd,cran,
evdbayes,cran,
EventDetectGUI,cran,sowmyachandrasekaran17
eventInterval,cran,jimlemon
eventTrack,cran,numbersman77
EventWinRatios,cran,daewoopak
evgam,cran,byoungman
EVI,cran,lefmel
evian,cran,struglab
evidence,cran,rvhulst
evidenceFactors,cran,
evident,cran,
evilDice,cran,
evmix,cran,
EvolutionaryGames,cran,jhstaudacher
Evomorph,cran,juanmac17
evreg,cran,
evtclass,cran,edovi
evtree,cran,
EwR,cran,
EWS,cran,
Exact,cran,pcalhoun1
exact.n,cran,
exact2x2,cran,
exactci,cran,
ExactCIdiff,cran,
exactLTRE,cran,
ExactMed,cran,
ExactMultinom,cran,resinj
exactRankTests,cran,thothorn
exams,cran,zeileis
exams2learnr,cran,zeileis
ExceedanceTools,cran,jfrench
exceldata,cran,
ExcelFunctionsR,cran,anosckin
ExcessMass,cran,
excessmort,cran,
ExCluster,bioc,
exdqlm,cran,rabarata
ExiMiR,bioc,
ExNRuleEnsemble,cran,
exomeCopy,bioc,
ExpAnalysis3d,cran,
expandFunctions,cran,
ExpDes,cran,ericbarba
ExpDes.pt,cran,ericbarba
expectreg,cran,
experiences,cran,joe-chelladurai
ExperimentHubData,bioc,
ExperimentSubset,bioc,
expertsurv,cran,
ExpImage,cran,
expint,cran,vigou3
ExplainPrediction,cran,rmarko
ExplodeLayout,cran,weibzhan
exploreR,cran,
expperm,cran,
ExpRep,cran,
ExpressionAtlas,bioc,
expSBM,cran,riccardorastelli
EXRQ,cran,judywanggwu
exteriorMatch,cran,
extlasso,cran,doer0
ExtMallows,cran,
extrafrail,cran,
extraterrestrial,cran,
extRC,cran,francescobartolucci
ExtremalDep,cran,simonepadoan
ExtremeBounds,cran,
extremefit,cran,kevinjaunatre
extremeIndex,cran,maxtailt
ExtremeRisks,cran,simonepadoan
extRemes,cran,ericgilleland
extremevalues,cran,markvanderloo
extremogram,cran,
exvatools,cran,enriquefeas
eyeTrackR,cran,
ez.combat,cran,
ezglm,cran,
ezmmek,cran,ccook
fabia,bioc,
fabMix,cran,mqbssppe
face,cran,cli9
facebookadsR,cran,pablosanmar
facebookleadsR,cran,pablosanmar
facebookorganicR,cran,pablosanmar
factDesign,bioc,
FACTMLE,cran,
FactoClass,cran,cepardot
factoptd,cran,
factor.switching,cran,mqbssppe
FactorCopula,cran,
factorial2x2,cran,ericsleifer
FactorsR,cran,
factset.analyticsapi.engines,cran,
factset.protobuf.stach.v2,cran,charlie430
factset.protobuf.stachextensions,cran,ramanth
FADA,cran,dcauseur
FADPclust,cran,
faersquarterlydata,cran,luisgarcez11
Fahrmeir,cran,kjetil1001
FAIRmaterials,cran,vuvlab
FairMclus,cran,
fairml,cran,
fairsubset,cran,
falcon,cran,
falconx,cran,
fam.recrisk,cran,sinnweja
FamEvent,cran,
Families,cran,willekens
FamilyRank,cran,
famSKATRC,cran,kkunji
FAMT,cran,dcauseur
fanc,cran,keihirose
fANCOVA,cran,
fancycut,cran,
fanovaGraph,cran,
FAO56,cran,aahani-r
FARDEEP,cran,
farms,bioc,
FASeg,cran,emilielebarbier
fasjem,cran,blw921
fasta,cran,echi
fastAFT,cran,
FastBandChol,cran,
fastclime,cran,ashipunov
fastcluster,cran,dmuellner
fastcmh,cran,
FastCUB,cran,
fastdigest,cran,
FastGaSP,cran,uncertaintyquantification
FastGP,cran,ggopalan
fastGraph,cran,
fastICA,cran,
FastImputation,cran,shaptonstahl
fastJT,cran,dcibioinformatics
FastKM,cran,sth1402
fastLaplace,cran,sangwan93
fastLiquidAssociation,bioc,
fastlogitME,cran,
fastlogranktest,cran,tikacp
fastM,cran,klauschn
fastmaRching,cran,
fastmit,cran,
fastOnlineCpt,cran,ghahn-hsph
FastPCS,cran,kvak
fastpseudo,cran,
FastRCS,cran,kvak
fastseg,bioc,
FastSF,cran,
fastSOM,cran,
fat2Lpoly,cran,
FatTailsR,cran,
favnums,cran,
FAwR,cran,
fBasics,cran,
fbati,cran,
FBCRM,cran,
FBFsearch,cran,davidealtomare
FBN,cran,biointf
fBonds,cran,
fbst,cran,riko-k
FCBF,bioc,
fCCAC,bioc,
fCI,bioc,
fclust,cran,
fcm,cran,liadd
FCMapper,cran,shaunturney
fcoex,bioc,
fCopulae,cran,waternumbers
fcr,cran,andrew-leroux
fcros,cran,doulaye
fcScan,bioc,
FCSlib,cran,fcslib
FD,cran,elaliberte
fdaMixed,cran,bomarkussen
fdaMocca,cran,
fdANOVA,cran,ls-git-17
fdaPDE,cran,eleonoraarnone
fdatest,cran,alessiapini
fdm2id,cran,blansche
fdq,cran,
fdrame,bioc,
fdrci,cran,millstei
fdrDiscreteNull,cran,xiongzhichen
FDRsampsize,cran,stan-pounds
FDRSeg,cran,
fdrtool,cran,
fds,cran,
FEA,cran,bhramdath
FeaLect,cran,
feather,cran,hadley
feature,cran,tarnduong
featureCorMatrix,cran,masem-research
featurefinder,cran,richard987
features,cran,rvaradhan
FeatureTerminatoR,cran,
featurizer,cran,
fechner,cran,
fect,cran,lzy318
fedmatch,cran,c0webster
fedz1,cran,shaf1430
FeedbackTS,cran,
FELLA,bioc,
fence,cran,
FENmlm,cran,
FertBoot,cran,
fertilmodel,cran,
FESta,cran,eldho1983
fetchGoogleAnalyticsR,cran,pablosanmar
fetchSalesforceR,cran,pablosanmar
ffpe,bioc,lwaldron
ffstream,cran,
fftw,cran,
FGalgorithm,cran,
FGLMtrunc,cran,
fglsnet,cran,weihuaan
Fgmutils,cran,
FGNet,bioc,
FGSG,cran,sywzero
fgui,cran,
FHDI,cran,
FHtest,cran,ramonoller
fiberLD,cran,
fICA,cran,klauschn
FIESTA,cran,graysonwhite
FILEST,cran,
FilterFFPE,bioc,
FinAna,cran,peteryinr
FinancialMath,cran,
FinAsym,cran,
FindAllRoots,cran,
FindIt,cran,naoki-egami
findPackage,cran,amarnathbose
FinePop,cran,
FinePop2,cran,
fingerprint,cran,rajarshi
fingerPro,cran,ivanlizaga
finiteruinprob,cran,baumgrt
finity,cran,x0range
fipp,cran,
FiRE,cran,princethewinner
firebehavioR,cran,ecofire
FiSh,cran,mlaib
FISHalyseR,bioc,
FisherEM,cran,
fisheye,cran,rcarto
fishkirkko2015,cran,
fishmethods,cran,gnelson12
fishMod,cran,scott-foster
FishResp,cran,
FisPro,cran,j-ll
FIT,cran,
fit.models,cran,kjellpk
fitConic,cran,cellocgw
FitHiC,bioc,
fitPoly,cran,roelandv
FITSio,cran,
fitteR,cran,markusboenn
FixedPoint,cran,s-baumann
fixedpointproperty,cran,
fizzbuzzR,cran,
FKSUM,cran,davidhofmeyr
flagme,bioc,markrobinsonuzh
flagr,cran,mmatyi
flam,cran,ajpete
flare,cran,mlcoding
flashClust,cran,plangfelder
flexclust,cran,
flexCWM,cran,
FlexDir,cran,nenedibri
FlexGAM,cran,spiegele
flexmix,cran,
flexmixNL,cran,
flexmsm,cran,
FlexParamCurve,cran,
FlexReg,cran,
flexrsurv,cran,grzebyk
FlexScan,cran,marsdu1989
flimo,cran,
flip,cran,
flippant,cran,
flipscores,cran,
FLLat,cran,
flood,cran,
FloodFreqPlot,cran,aahani-r
flowAI,bioc,
flowBeads,bioc,
flowBin,bioc,
flowCHIC,bioc,
flowClean,bioc,
flowClust,bioc,
flowCore,bioc,
flowCut,bioc,
flowCyBar,bioc,
flowDensity,bioc,
flowFP,bioc,
flowGate,bioc,
flowMap,bioc,
flowMatch,bioc,
flowMeans,bioc,
flowMerge,bioc,
flowPeaks,bioc,
flowPlots,bioc,
FlowScreen,cran,hydauer
FlowSOM,bioc,
flowTime,bioc,
flowTrans,bioc,
flowViz,bioc,
flowVS,bioc,
flowWorkspace,bioc,
FLR,cran,consmavr
flsa,cran,hhoeflin
FLSSS,cran,whateverliu
fluoSurv,cran,jferdy
fluspect,cran,ahornero
flux,cran,
fluxweb,cran,
flying,cran,bmasinde
FMAdist,cran,
FMC,cran,jiyosunny
FMCCSD,cran,
fmerPack,cran,liyanstat
fmf,cran,zheng-ww
FMP,cran,nwaller
fmri,cran,
fmsb,cran,minatonakazawa
FMStable,cran,
fmt,cran,
fMultivar,cran,theussl
fnets,cran,haeran-cho
FNN,cran,
fNonlinear,cran,waternumbers
FOCI,cran,monaazadkia
focusedMDS,cran,lea-urpa
FoldGO,bioc,
footballpenaltiesBL,cran,lgstat
ForagingOrg,cran,marcuspirx
forams,cran,godrigos
ForecastCombinations,cran,
forecastLSW,cran,adunaic
forecTheta,cran,jafiorucci
foreign,cran,
forensIT,cran,marsicofl
ForestDisc,cran,hmais
ForestFit,cran,mahditeimouri
forestHES,cran,zongzheng
forestinventory,cran,
forestmodel,cran,
forge,cran,
Formula,cran,zeileis
forplo,cran,
forsearch,cran,githubwilly
fortunes,cran,zeileis
forward,cran,kjbeath
fossil,cran,
fossilbrush,cran,jf15558
FossilSim,cran,bjoelle
FossilSimShiny,cran,bjoelle
FourScores,cran,
FourWayHMM,cran,
fpa,cran,lawrencecao
fpc,cran,chrhennig
FPCA2D,cran,
FPCA3D,cran,edmondlinnan
FPDclustering,cran,
fpest,cran,sampath1959
fplot,cran,
fpop,cran,guillemr
fpopw,cran,guillemr
fpow,cran,baharev
fpp,cran,robjhyndman
fptdApprox,cran,jjserra68
FPV,cran,
fqacalc,cran,
fqadata,cran,
FractalParameterEstimation,cran,
fractalRegression,cran,
fractD,cran,fscopaolomancuso
FRACTION,cran,
fractional,cran,billvenables
fragility,cran,linlf
Fragman,cran,
frailtyHL,cran,msnoh1
frailtypack,cran,
Frames2,cran,dmolinam
frbs,cran,
FRCC,cran,
free,cran,ly129
freebird,cran,laylaparast
freecurrencyapi,cran,
FreeSortR,cran,
frenchCurve,cran,billvenables
frenchFISH,bioc,
FREQ,cran,geckogretel
freqdist,cran,
freqdistributionNogives,cran,harshit-budakoti
freqdom,cran,
freqdom.fda,cran,
freqparcoord,cran,
frequentistSSD,cran,
FrF2,cran,
FrF2.catlg128,cran,
FRGEpistasis,bioc,
FRI,cran,dromarnrc
fritools,cran,fvafrcu
frma,bioc,
frmaTools,bioc,
frmhet,cran,
frmpd,cran,
frontiles,cran,
fscaret,cran,
FSDAM,cran,youyifong
fsemipar,cran,
fsia,cran,micbtz
FSinR,cran,
FSInteract,cran,rajenshah
FSK2R,cran,albgarre
FSM,cran,ambarish-chattopadhyay
fsMTS,cran,
FSMUMI,cran,
fsn,cran,
fso,cran,dvrbts
fSRM,cran,nicebread
FSSF,cran,boyangshang
fst4pg,cran,tmaryhuard
Fstability,cran,
fstcore,cran,marcusklik
fsthet,cran,spflanagan
FSTpackage,cran,
ftaproxim,cran,haghbinh
fTrading,cran,
ftrCOOL,cran,sareameri
ftsa,cran,
ftsspec,cran,
fuel,cran,
fugue,cran,
fullfact,cran,ahoude
func2vis,cran,raghvendra5688
FunCC,cran,agostino-torti
FunChIP,bioc,
FunChisq,cran,joemsong
FunctanSNP,cran,
functional,cran,klutometis
funFEM,cran,
fungible,cran,nwaller
funLBM,cran,
funmediation,cran,dziakj1
funnelR,cran,mattkumar
funpca,cran,lfrm
funreg,cran,dziakj1
funspace,cran,carlosp-carmona
funStatTest,cran,gdurif
FUNTA,cran,
funtimes,cran,
funtooNorm,bioc,
FunWithNumbers,cran,cellocgw
fusedMGM,cran,jaehyunparkbiostat
fuser,cran,
FusionLearn,cran,hermitz9
futile.logger,cran,
futile.options,cran,
Fuzzy.p.value,cran,
fuzzyforest,cran,daniel-conn17
FuzzyLP,cran,
FuzzyM,cran,
FuzzyMCDM,cran,
FuzzyNumbers.Ext.2,cran,
FuzzyR,cran,
fuzzyRankTests,cran,cjgeyer
fuzzyreg,cran,nmartinkova
fuzzySim,cran,ambarbosa
FuzzyStatProb,cran,
FuzzyStatTra,cran,
FuzzyStatTraEOO,cran,uo270115
FuzzySTs,cran,berkachyr
FWRGB,cran,
fwsim,cran,mikldk
fxregime,cran,zeileis
g.data,cran,
G2Sd,cran,reg-gallon
GAabbreviate,cran,basahdra
GABB,cran,
GACFF,cran,hoshmandcomputer
GAD,cran,
GADAG,cran,magalichampion
gadget2,cran,bthe
gafit,cran,
gaga,bioc,davidrusi
GAGAs,cran,
gaggle,bioc,
gains,cran,
GAIPE,cran,
galigor,cran,selesnow
galts,cran,
gam,cran,trevorhastie
gamair,cran,
gamblers.ruin.gameplay,cran,roy-sr-007
gamboostMSM,cran,hreulen
gamclass,cran,jhmaindonald
GAMens,cran,koendebock
GameTheory,cran,
GameTheoryAllocation,cran,
gamlss,cran,
gamlss.add,cran,
gamlss.cens,cran,
gamlss.countKinf,cran,
gamlss.data,cran,
gamlss.demo,cran,
gamlss.dist,cran,
gamlss.foreach,cran,
gamlss.ggplots,cran,
gamlss.inf,cran,
gamlss.lasso,cran,flziel
gamlss.mx,cran,
gamlss.spatial,cran,fdebastiani
gamlss.tr,cran,
gamlssbssn,cran,
gamm4,cran,
Gammareg,cran,
gammSlice,cran,mattwand
gamreg,cran,takayukikawashima
gamRR,cran,marsdu1989
gamsel,cran,trevorhastie
gamselBayes,cran,mattwand
ganDataModel,cran,
ganGenerativeData,cran,
GANPA,cran,celreg
GANPAdata,cran,celreg
GAprediction,bioc,
GARCHIto,cran,
GARCHSK,cran,keeeeei0315
garfield,bioc,
GARS,bioc,
gasfluxes,cran,ecoroland2
GaSP,cran,wsqlab
gaston,cran,
GateFinder,bioc,
gausscov,cran,
gaussDiff,cran,
GaussianHMM1d,cran,bouchranasri
gaussquad,cran,
gazepath,cran,coggains
gb,cran,
GB2,cran,
GB2group,cran,jordavuc
GBJ,cran,ryansunwork
gbm2sas,cran,
gbmt,cran,alessandromagrini
gbRd,cran,
gbs2ploidy,cran,zgompert
gbts,cran,wliang10
GCalcium,cran,
gCat,cran,
gcerisk,cran,
gcKrig,cran,hanzifei
gclus,cran,cbhurley
gcmr,cran,
gconsensus,cran,
GCPBayes,cran,tbaghfalaki
GCPM,cran,
gCrisprTools,bioc,
gcrma,bioc,
GCSscore,bioc,
GD,cran,
GDAdata,cran,impaug
GDCRNATools,bioc,rli012
gdi,cran,theropod1
gDRimport,bioc,
gDRstyle,bioc,
gDRutils,bioc,
gds,cran,
GE,cran,
gear,cran,jfrench
gee,cran,
GEEaSPU,cran,junghi
geeasy,cran,hojsgaard
geecure,cran,
geeM,cran,lsubioscomputing
geesmv,cran,
geigen,cran,
geiger,cran,lukejharmon
GEInfo,cran,
GEInter,cran,
GEM,bioc,
gemlog,cran,ajakef
gems,cran,svizcaya
gen2stage,cran,
gena,cran,bogdanpotanin
genalg,cran,ballings
GenAlgo,cran,
genArise,bioc,
genbankr,bioc,
genBaRcode,cran,grafxzahl
GenBinomApps,cran,
gencor,cran,helgem
gendata,cran,flh3
GenderInfer,cran,
gendist,cran,
GENEAclassify,cran,sweeters
GENEAread,cran,charlessweetland
GENEAsphere,cran,charlessweetland
geneAttribution,bioc,
GeneCycle,cran,
geneExpressionFromGEO,cran,
GeneF,cran,
genefilter,bioc,
genefu,bioc,bhaibeka
GeneGA,bioc,
GeneGeneInteR,bioc,
GeneMeta,bioc,
GeneNet,cran,
GeneOverlap,bioc,
genepi,cran,veseshan
geneplast,bioc,
geneplotter,bioc,
genepop,cran,f-rousset
generalCorr,cran,hdvinod
GeneralisedCovarianceMeasure,cran,jonaspet
GeneralizedWendland,cran,thomas-caspar-fischer
GeneralOaxaca,cran,aureliennicosia
geneRecommender,bioc,
GeneRegionScan,bioc,
geneRxCluster,bioc,chasberry
GeneSelectMMD,bioc,weiliang
GeneStructureTools,bioc,
genesysr,cran,mobreza
geNetClassifier,bioc,
genetics,cran,warnes
GeneticsPed,bioc,
GeneticSubsetter,cran,runninggraeb
GENIE3,bioc,
GENLIB,cran,mroygagn
GenMarkov,cran,
GENMETA,cran,kundupro
geno2proteo,cran,
genoCN,bioc,
genogeographer,cran,tvedebrink
genomeIntervals,bioc,
genomeplot,cran,
genomes,bioc,
GenomicFiles,bioc,
GenomicOZone,bioc,
genomicper,cran,
GenOrd,cran,
GenoScan,cran,
GenoTriplo,cran,
genpathmox,cran,glamb85
GenProSeq,bioc,
genpwr,cran,
GenSA,cran,
genSEIR,cran,
genset,cran,
gensphere,cran,jpnolan
genstab,cran,jacks306
GenWin,cran,timbeissinger
GeoAdjust,cran,
geoBayes,cran,
GeoBoxplot,cran,liao-iu
geobr,cran,rafapereirabr
geodetector,cran,
geofd,cran,pedro-delicado
GEOmap,cran,jonathanlees
geomapdata,cran,jonathanlees
geomaroc,cran,amineandam04
GeomComb,cran,
GEOmetadb,bioc,
GeomxTools,bioc,
geonetwork,cran,famuvie
geophys,cran,jonathanlees
geoR,cran,paulojus
geoscale,cran,markbells
geosed,cran,
geosimilarity,cran,
geospt,cran,
geosptdb,cran,carlosm77
geostats,cran,pvermees
GEOsubmission,bioc,
geotools,cran,antoinelucas64
geoTS,cran,
geovol,cran,
GeoWeightedModel,cran,javierdelahoz
gep2pep,bioc,franapoli
gerbil,cran,michaelwrobbins
GeSciLiVis,cran,
GESE,cran,
gespeR,bioc,
gesso,cran,
gestate,cran,jamescbell
GETdesigns,cran,
getDTeval,cran,mb4511
getwiki,cran,corydonbaylor
GEVACO,cran,
GEVcdn,cran,alexcannon
GEWIST,bioc,
GFA,cran,eemeii
gfboost,cran,
GFD,cran,
GFDmcv,cran,ls-git-17
GFE,cran,
GFGM.copula,cran,
gfilogisreg,cran,laustep
GFisher,cran,wpihongzhang
ggBubbles,cran,
ggbump,cran,
GGClassification,cran,fvcampos
ggcorset,cran,
GGEBiplots,cran,sdumble1
ggfun,cran,guangchuangyu
ggm,cran,stathin
ggmanh,bioc,
ggmotif,cran,
ggmr,cran,
GGMridge,cran,sth1402
GGMselect,cran,
GGoutlieR,cran,cheweichang1992
ggplotlyExtra,cran,
ggrasp,cran,idpcc
ggrcs,cran,
GGRidge,cran,
ggrisk,cran,
ggstream,cran,
ggsurvfit,cran,ddsjoberg
ggtern,cran,
ggtreeDendro,bioc,guangchuangyu
ggversa,cran,
ggvis,cran,wch
GhostKnockoff,cran,
GHS,cran,ash0204
ghyp,cran,quantsulting
GIC,cran,buybnb
giedata,cran,
gif,cran,
GIGrvg,cran,jleydold
GIGSEA,bioc,
gimmeTools,cran,
GiNA,cran,
Gini,cran,marsdu1989
GiniDistance,cran,
GiniWegNeg,cran,
gIPFrm,cran,annaklimovauw
GIplot,cran,
GiRaF,cran,
girafe,bioc,
GISPA,bioc,
givitiR,cran,
gjam,cran,jimclarkatduke
GJRM,cran,
gkmSVM,cran,mbeer3
GLAD,bioc,
GladiaTOX,bioc,
glarma,cran,
GlarmaVarSel,cran,
glasso,cran,
glba,cran,ingmarvisser
GLDEX,cran,allegropiano
GLDreg,cran,allegropiano
gldrm,cran,
GLIDE,cran,
glinternet,cran,michael626
gllm,cran,
glm2,cran,mdonoghoe
glmbb,cran,cjgeyer
glmc,cran,
GLMcat,cran,
glme,cran,mcavs
glmertree,cran,
glmglrt,cran,
glmlep,cran,
glmm,cran,knudson1
glmmEP,cran,mattwand
glmmLasso,cran,hoarzpassey
glmmML,cran,goranbrostrom
GLMMRR,cran,
GLMMselect,cran,
glmnet,cran,trevorhastie
glmnetr,cran,
glmpath,cran,
GLMsData,cran,peterkdunn
glmtlp,cran,yuyangumn
glmtoolbox,cran,
glmtrans,cran,ytstat
glmulti,cran,vincexxc
glmx,cran,zeileis
glmxdiag,cran,reealpeppe
GlobalAncova,bioc,
globalKinhom,cran,thomasrshaw
globalOptTests,cran,
globaltest,bioc,jellegoeman
glober,cran,
glogis,cran,zeileis
glpkAPI,cran,mihai-sysbio
gLRTH,cran,
GLSME,cran,
gluvarpro,cran,scontador
glvmfit,cran,
gma,cran,zhaoyi1026
GMAC,cran,randel
gmDatabase,cran,
GMDH,cran,
GMDH2,cran,osmandag
GMDHreg,cran,mvt-oviedo
Gmedian,cran,
gmeta,cran,
gmfd,cran,martinoandrea92
gmGeostats,cran,
GmicR,bioc,
GMKMcharlie,cran,whateverliu
GMMBoost,cran,
gmmsslm,cran,lyu9118
gmodels,cran,warnes
gmoviz,bioc,
gmp,cran,antoinelucas64
GMPro,cran,
GMRP,bioc,yuande
gmwmx,cran,lionelvoirol
GNAR,cran,
gnFit,cran,asaeb1480
gnn,cran,
gnrprod,cran,
GNRS,cran,bmaitner
GNSSseg,cran,arq16
gnumeric,cran,antalk2
go2bigq,cran,cellocgw
goalp,cran,
GofCens,cran,klongear
gofgamma,cran,ebner-kit
GoFKernel,cran,
GofKmt,cran,jwboys26
GOFShiny,cran,kartikeyabolar
goft,cran,elizagestrada
GOfuncR,bioc,
gogarch,cran,bpfaff
gomms,cran,
gontr,cran,kalifa-manjang
good,cran,dessipat
GoodFibes,cran,jessica-arbour
GoodmanKruskal,cran,ronaldkpearson
googleadsR,cran,pablosanmar
googleformr,cran,data-steve
GoogleKnowledgeGraphR,cran,
googlePolylines,cran,
googleTagManageR,cran,
goProfiles,bioc,
gor,cran,
GORCure,cran,jierazhou
gorpiper,cran,
goseq,bioc,
GOSim,bioc,
goSorensen,bioc,
goSTAG,bioc,
GOstats,bioc,
GOTHiC,bioc,
goTools,bioc,
govStatJPN,cran,yuichiro-otani
GOxploreR,cran,kalifa-manjang
gp,cran,
GPArotateDF,cran,
gpboost,cran,
GPCMlasso,cran,schaubert
GPFDA,cran,gpfda
GPfit,cran,
GPIC,cran,phamdn
gpk,cran,prabhanjan-tattar
GPL2025,cran,
gplm,cran,
gpls,bioc,
gplsim,cran,zzz1990771
GPLTR,cran,cyprien84
GPM,cran,
gpmap,cran,argju
GPoM,cran,
GPP,cran,aitask
gProfileR,cran,korogenoest
gprofiler2,cran,
gps.track,cran,
GPSCDF,cran,
GPSeqClus,cran,
GPUmatrix,cran,
GPvam,cran,akarl46556
GPvecchia,cran,marcinjurek
gquad,cran,ohuajo
gradeR,cran,trb5me
GRaNIE,bioc,
granova,cran,fbertran
granovaGG,cran,
GRAPE,cran,michaelklein916
graper,bioc,
graph,bioc,
graph4lg,cran,psavary3
GraphAlignment,bioc,
GraphAT,bioc,
graphclust,cran,tabea17
GrapheR,cran,maximeherve
graphicalVAR,cran,
graphkernels,cran,mahito-sugiyama
GraphPAC,bioc,
GraphPCA,cran,
GrassmannOptim,cran,
gRaven,cran,petergreen5678
gravmagsubs,cran,collincr-usgs
GRCdata,cran,
GRCRegression,cran,
GreedyEPL,cran,riccardorastelli
GreedyExperimentalDesignJARs,cran,
greekLetters,cran,kevin444
greencrab.toolkit,cran,
GRelevance,cran,xshi1
gren,cran,magnusmunch
GRENITS,bioc,
GreyListChIP,bioc,
GreyModel,cran,
grf,cran,jtibshirani
gridBase,cran,pmur002
GRIDCOPULA,cran,
gridDebug,cran,
GridOnClusters,cran,joemsong
gridOT,cran,
gridSVG,cran,pmur002
GrimR,cran,
gripp,cran,jaderlugon
grmsem,cran,bstpourcain
GROAN,cran,ne1s0n
groc,cran,lafaye
gromovlab,cran,hvlieb
GroupBN,cran,abecker-ml
GroupComparisons,cran,
groupedSurv,cran,dcibioinformatics
groupICA,cran,
groupRemMap,cran,
groupsubsetselection,cran,yguo-wsu
GroupTest,cran,
groupTesting,cran,
groupWQS,cran,mmcarli
grove,cran,
growfunctions,cran,tds151
growthPheno,cran,
growthrate,cran,
grplasso,cran,meierluk
grplassocat,cran,fdetmer
grpseq,cran,lmaowsic
GRridge,bioc,
GRS.test,cran,jh8080
GRSxE,cran,michlau
grt,cran,ajwills72
GRTo,cran,
GSA,cran,
GSAfisherCombined,cran,
GSAQ,cran,sam-dfmd
GSAR,bioc,
gsarima,cran,obriet
gsbDesign,cran,bbnkmp
gsbm,cran,
GSCA,bioc,
gscaLCA,cran,hee6904
gsdensity,cran,
GSE,cran,claudioagostinelli
GSEABase,bioc,
GSEAlm,bioc,
GSEAmining,bioc,
gsean,bioc,
gsEasy,cran,daniel-jg
GSED,cran,marie-karelle
gSeg,cran,
GSelection,cran,
gSEM,cran,
GSM,cran,
gsMAMS,cran,axle123
gsmoothr,cran,markrobinsonuzh
GSMX,cran,
gson,cran,guangchuangyu
GSparO,cran,mayhhu
GSReg,bioc,
GSRI,bioc,
gsrs,cran,
gss,cran,
